"DATE_TIME" "LONGITUDE" "LATITUDE" "GEOHASH" "MINIMUM_SPEED" "MAXIMUM_SPEED" "AVERAGE_SPEED" "NUMBER_OF_VEHICLES"
"2021-03-01 13:00:00" 28.6029052734375 41.2673950195312 "sxk6fb" 70 126 85 11
"2021-03-04 13:00:00" 28.9434814453125 41.0202026367188 "sxk96e" 2 71 19 124
"2021-03-03 19:00:00" 28.7786865234375 41.0476684570312 "sxk3wb" 3 82 37 67
"2021-03-04 10:00:00" 29.2181396484375 41.2014770507812 "sxkf2u" 29 90 64 11
"2021-03-01 05:00:00" 29.1302490234375 41.0476684570312 "sxk9wb" 42 161 89 43
"2021-03-04 09:00:00" 28.1414794921875 41.0751342773438 "sxk18m" 17 140 76 39
"2021-03-01 04:00:00" 29.0533447265625 41.2289428710938 "sxkdt1" 59 121 81 62
"2021-03-02 15:00:00" 28.0975341796875 41.1904907226562 "sx7fr6" 51 149 87 109
"2021-03-04 13:00:00" 28.7896728515625 41.0586547851562 "sxk3x4" 2 72 33 135
"2021-03-04 02:00:00" 29.0313720703125 41.0476684570312 "sxk9s8" 26 117 78 29
"2021-03-04 09:00:00" 28.4710693359375 41.1355590820312 "sxk4pb" 6 79 39 27
"2021-03-01 09:00:00" 28.5589599609375 41.0147094726562 "sxk33f" 21 88 59 112
"2021-03-03 18:00:00" 28.7677001953125 41.2454223632812 "sxk6ws" 30 161 97 29
"2021-03-01 04:00:00" 28.1085205078125 41.1849975585938 "sx7fr9" 70 134 89 32
"2021-03-04 22:00:00" 28.6798095703125 41.0696411132812 "sxk3ss" 17 49 32 15
"2021-03-04 16:00:00" 29.1741943359375 40.9817504882812 "sxk9pu" 14 61 37 17
"2021-03-01 20:00:00" 28.9105224609375 40.9817504882812 "sxk91u" 34 107 67 68
"2021-03-02 22:00:00" 29.3389892578125 40.9213256835938 "sxkbg9" 17 109 61 43
"2021-03-01 12:00:00" 28.9984130859375 41.1135864257812 "sxk9gu" 4 76 33 72
